protein	classRDB	TRs	anno	len	domain
4axg_A	none	3	none	181	[PDP:4AXGAa]
3ah1_A	IV.3	6	none	283	[PDP:4OUJAa, PDP:4OUJAb]
2h0l_A	none	3	none	316	[PDP:2ZHJAa, PDP:2ZHJAb]
3iz2_A	none	3	none	185	[PDP:2ZW3Aa]
4ic4_A	none	3	none	372	[PDP:4IC4Aa]
3kst_A	none	5	none	291	[PDP:3KSTAa]
3m76_A	none	4	none	306	[PDP:3M73Aa]
4ld1_A	none	7	none	157	[PDP:4LD1Aa, PDP:4LD1Ab]
1h8o_A	none	3	none	218	[PDP:4P48Aa, PDP:4P48Ab]
2ixv_A	IV.1	3	none	338	[d2j8ga1, d2j8ga2]
4h6d_F	none	3	none	330	[PDP:4ESWAa, PDP:4ESWAb]
2psn_A	none	3	none	432	[d2akza1, d2akza2]
3uy7_A	IV.1	3	none	247	[PDP:4A29Aa]
3rgv_A	none	3	none	200	[PDP:2NW2Aa, PDP:2NW2Ab]
4i4o_A	IV.3	3	none	146	[PDP:4I4OAa]
4dxa_A	none	3	none	168	[PDP:2CE2Xa]
4c0h_A	none	4	none	422	[PDP:4OI4Aa, PDP:4OI4Ab, PDP:4OI4Ac]
2npm_A	none	3	none	237	[PDP:3IQUAa, PDP:3IQUAb, PDP:3IQUAc]
1avh_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
3h12_A	IV.1	3	none	392	[PDP:3OZYAa, PDP:3OZYAb, PDP:3OZYAc]
1nz2_A	none	3	none	153	[PDP:3QM9Aa]
3ia8_A	none	3	none	162	[PDP:3IA8Aa]
1t66_H	none	3	none	220	[PDP:4NZULa, PDP:4NZULb]
3ndy_A	none	3	none	345	[d1edga_]
1c41_A	none	3	none	165	[d1c41a_]
1kc5_H	none	3	none	217	[PDP:4NZULa, PDP:4NZULb]
1bcz_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
2oek_A	none	3	none	411	[PDP:2OEMAa, PDP:2OEMAb]
1co9_A	none	3	none	154	[PDP:3QM9Aa]
1r3r_A	none	3	none	356	[d1r3sa_]
1j4e_A	none	3	none	341	[d2qapa1]
3bhs_A	none	3	none	379	[PDP:3B9WAa]
2idv_A	none	3	none	177	[]
3dip_A	IV.1	3	none	371	[PDP:4DXKAa, PDP:4DXKAb, PDP:4DXKAc]
2pm7_A	none	3	none	345	[PDP:2PM7Aa, PDP:2PM7Ab, PDP:2PM7Ac, PDP:2PM7Ad]
1itv_A	none	4	none	195	[d1itva_]
4ggb_A	IV.1	3	none	348	[PDP:4HPNAa]
3zqc_A	none	3	none	118	[PDP:3ZQCAa, PDP:3ZQCAb]
1qg4_A	none	3	none	202	[PDP:3GJ0Aa]
3hq2_A	none	3	none	496	[PDP:3HOAAa]
2qyg_A	none	3	none	429	[d1ykwa1, d1ykwa2]
1sl7_A	none	3	none	173	[d1qv1a_]
1z5x_U	none	3	none	193	[PDP:3CJWAa]
2x2s_A	IV.3	3	none	150	[PDP:2X2SAa]
4o2r_A	none	3	none	167	[PDP:2CE2Xa]
1zwm_A	none	4	none	177	[d1h4ax1, d1h4ax2]
3pya_A	none	3	none	688	[PDP:4LIXAa, PDP:4LIXAb, PDP:4LIXAc]
2xh2_A	none	3	none	437	[d2akza1, d2akza2]
3cyj_A	IV.1	3	none	359	[PDP:3CYJAa, PDP:3CYJAb]
3dz8_A	none	3	none	178	[PDP:2CE2Xa]
1ncb_N	none	3	none	389	[PDP:3B7EAa]
4nk8_A	none	3	none	417	[PDP:4NK6Aa]
3b0p_A	none	3	none	307	[PDP:3B0PAa, PDP:3B0PAb]
3apa_A	none	3	none	138	[PDP:3APAAa]
4f6h_A	none	3	none	223	[PDP:2YNTAa, PDP:2YNTAb]
4n0a_H	none	3	none	318	[PDP:4N0AHa]
4dz0_A	none	3	none	172	[PDP:4LQHAa]
1b6f_A	none	3	none	159	[PDP:4A8UAa]
1yk9_A	none	3	none	184	[PDP:1YK9Aa]
3tw9_A	IV.1	3	none	394	[PDP:4K8GAa]
1qtx_A	none	4	none	148	[d1exra_]
4ik3_A	none	4	none	393	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
2q5c_A	none	3	none	187	[PDP:2Q5CAa, PDP:2Q5CAb]
2w6x_A	none	3	none	154	[PDP:3QM9Aa]
1qbm_H	none	4	none	219	[PDP:4NZULa, PDP:4NZULb]
1aj4_A	none	3	none	160	[d1exra_]
1z5x_E	none	3	none	237	[PDP:1Z5XEa]
1vbr_A	none	3	none	324	[d1i1wa_]
3vw5_A	none	3	none	389	[PDP:3VW5Aa]
2gx6_A	none	3	none	271	[PDP:2FN9Aa, PDP:2FN9Ab]
4me2_A	none	4	none	194	[PDP:4ME2Aa, PDP:4ME2Ab]
1bql_H	none	3	none	214	[PDP:4NZULa, PDP:4NZULb]
2f9l_A	none	3	none	173	[d2bcgy1]
3sg2_A	none	4	none	394	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
4g9m_A	IV.3	3	none	142	[PDP:4G9MAa]
1ngy_B	none	3	none	216	[PDP:4NZULa, PDP:4NZULb]
2pae_A	none	3	none	136	[d2pa7a1]
3o1h_A	none	3	CL4;	270	[PDP:3I9YAa, PDP:3I9YAb]
3llv_A	none	3	none	133	[PDP:3LLVAa]
5acn_A	none	3	none	753	[d8acna1, d8acna2]
2eh3_A	none	3	none	171	[PDP:2EH3Aa, PDP:2EH3Ab]
3v9h_A	none	3	none	541	[PDP:4E3XAa, PDP:4E3XAb]
3m74_A	none	4	none	306	[PDP:3M73Aa]
1qxm_A	IV.3	5	none	283	[PDP:4OUJAa, PDP:4OUJAb]
1vkd_A	none	5	none	327	[d1vkda_]
1nqb_A	none	3	none	232	[PDP:4NZULa, PDP:4NZULb]
2krr_A	none	3	none	174	[PDP:2KRRAa, PDP:2KRRAb]
1mmo_B	none	3	none	384	[d1mtyb_]
1mmo_D	none	3	none	512	[d1mtyd_]
1byu_A	none	3	none	202	[PDP:3GJ0Aa]
1xz5_A	none	3	none	141	[PDP:2W72Aa]
1wio_A	none	3	none	363	[d1wioa1, d1wioa2, d1wioa3, d1wioa4]
1mmo_G	none	3	none	162	[d1mtyg_]
3m71_A	none	4	none	308	[PDP:3M73Aa]
4mfg_A	III.1	3	none	168	[PDP:3R3RAa]
4f02_A	none	3	none	175	[PDP:4F02Aa, PDP:4F02Ab]
3f5c_B	none	3	none	183	[PDP:3F5CBa]
1eap_B	none	3	none	216	[PDP:4NZULa, PDP:4NZULb]
3pzd_A	none	3	none	498	[PDP:3AU4Aa, PDP:3AU4Ab, PDP:3AU4Ac, PDP:3AU4Ad, PDP:3AU4Ae]
3lci_A	IV.1	3	none	293	[PDP:2WKJAa]
4mfu_A	none	3	none	487	[PDP:4CB8Aa, PDP:4CB8Ab, PDP:4CB8Ac, PDP:4CB8Ad]
2rq9_A	IV.3	3	none	143	[d1rg8a_]
4ifl_X	IV.4	5	none	285	[d1zgka1]
4i4q_A	IV.3	3	none	146	[PDP:4I4OAa]
1bxw_A	none	3	none	172	[d1qjpa_]
1suu_A	none	3	none	293	[d1suua_]
2kd2_A	none	3	none	94	[PDP:2KW1Aa]
3tsb_A	none	3	none	490	[PDP:3ZFHAa]
3slj_A	none	4	C2C;	305	[PDP:3AEHAa]
1kt0_A	none	3	none	357	[d1kt1a1, d1kt1a2, d1kt1a3]
2dtg_A	none	3	none	220	[PDP:4NZULa, PDP:4NZULb]
2rgk_A	none	3	none	409	[PDP:2ZBLAa]
2gjs_A	none	3	none	150	[PDP:2CE2Xa]
2gl5_A	IV.1	3	none	401	[d2gl5a1, d2gl5a2]
3vvc_A	none	3	none	318	[PDP:4G5HAa]
2exk_A	none	3	none	533	[PDP:3C2UAa, PDP:3C2UAb]
1wp5_A	none	4	none	323	[d1wp5a_]
2bsy_A	none	3	none	249	[d2bsya1, d2bsya2]
1vz6_A	none	3	none	376	[d1vz6a_]
1cio_A	none	3	none	154	[PDP:3QM9Aa]
3of7_A	none	5	none	438	[PDP:3OF7Aa]
3lqd_A	none	3	none	141	[PDP:2W72Aa]
2uz1_B	none	3	none	555	[PDP:2UZ1Aa, PDP:2UZ1Ab, PDP:2UZ1Ac]
1dc9_A	none	4	none	131	[d1ifca_]
4psj_A	none	6	none	255	[PDP:4PQ8Aa]
3u1r_A	III.1	3	none	456	[PDP:4I35Aa, PDP:4I35Ab, PDP:4I35Ac, PDP:4I35Ad]
2xh0_A	none	3	none	437	[d2akza1, d2akza2]
1c5h_A	none	3	none	185	[PDP:3AKSAa]
3f12_A	none	3	none	211	[PDP:4NZULa, PDP:4NZULb]
1ngz_B	none	3	none	220	[PDP:4NZULa, PDP:4NZULb]
2i2r_E	none	4	none	179	[PDP:4MLWAa]
3n79_A	none	3	none	183	[PDP:3N79Aa, PDP:3N79Ab]
2x9k_A	none	3	none	278	[PDP:2X9KAa]
1a2x_A	none	4	none	158	[d1exra_]
1uhl_A	none	3	none	214	[PDP:3CJWAa]
1aii_A	none	4	none	322	[PDP:2ZHJAa, PDP:2ZHJAb]
4ll8_A	none	3	none	428	[PDP:4LL8Aa, PDP:4LL8Ab, PDP:4LL8Ac]
3ax6_A	none	3	none	360	[PDP:4MAMAa, PDP:4MAMAb, PDP:4MAMAc, PDP:4MAMAd]
1gpw_A	IV.1	3	none	253	[PDP:3TDNAa]
4i2y_A	none	4	none	381	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
3k9c_A	none	3	none	268	[PDP:3K9CAa, PDP:3K9CAb]
3ddc_A	none	3	none	166	[PDP:2CE2Xa]
3q95_A	none	3	none	243	[PDP:3OLLAa]
2ii2_A	none	4	none	304	[PDP:2II2Aa, PDP:2II2Ab, PDP:2II2Ac]
4m0m_A	none	3	none	721	[PDP:4M0MAa, PDP:4M0MAb, PDP:4M0MAc, PDP:4M0MAd, PDP:4M0MAe]
2j6e_A	none	3	none	209	[d1l6xa1, d1l6xa2]
1a1f_A	none	3	none	84	[d1a1ia1, d1a1ia2, d1a1ia3]
2xm7_A	none	3	none	307	[PDP:2XM5Aa]
1h1x_A	none	3	none	154	[PDP:3QM9Aa]
3esv_F	none	3	none	228	[PDP:4P48Aa, PDP:4P48Ab]
4h07_A	none	3	none	154	[PDP:3QM9Aa]
2v5j_A	none	3	none	268	[PDP:2VWSAa]
2bmy_A	none	3	none	141	[PDP:3MITAa]
2xci_A	none	3	none	354	[PDP:2XCIAa, PDP:2XCIAb]
4n3p_A	none	3	C2C;	424	[PDP:2GG6Aa, PDP:2GG6Ab]
3qqz_A	none	4	none	243	[PDP:3QQZAa]
1zb6_A	none	3	none	301	[d1zdya1]
1rvw_A	none	3	none	141	[PDP:2W72Aa]
1mwc_A	none	3	none	153	[PDP:3QM9Aa]
1ebg_A	none	3	none	436	[d2akza1, d2akza2]
3m2t_A	none	3	none	342	[PDP:3M2TAa, PDP:3M2TAb, PDP:3M2TAc]
1aj9_A	none	3	none	141	[PDP:2W72Aa]
3se1_A	none	3	none	166	[PDP:4LQHAa]
1y0a_A	none	3	none	141	[PDP:2W72Aa]
1lm7_A	none	5	none	238	[d1lm7a_]
4j2f_A	none	3	none	218	[PDP:2VO4Aa, PDP:2VO4Ab]
3cqg_A	none	3	none	225	[PDP:3CQCAa, PDP:3CQCAb, PDP:3CQCAc]
3w8w_A	none	3	C2C;	460	[PDP:3W8ZAa, PDP:3W8ZAb]
3f1r_A	IV.3	3	none	157	[PDP:3F1RAa]
1zv4_X	none	3	none	138	[PDP:2IHDAa]
2f1f_A	none	3	none	163	[d2f1fa1, d2f1fa2]
4i9s_A	none	3	none	137	[PDP:4BVMAa]
4by2_A	none	6	none	154	[PDP:4BY2Aa, PDP:4BY2Ab]
4hns_A	none	3	none	124	[d1jbea_]
1x7n_A	none	3	none	189	[PDP:4LUKAa]
2lo6_A	none	3	none	154	[PDP:3CLJAa]
2v4i_B	none	3	none	202	[PDP:2V4IBa, PDP:2V4IBb]
3ddr_A	none	4	none	753	[PDP:3DDRAa]
3wo9_A	III.1	5	none	223	[PDP:3G39Aa]
1zi0_A	none	5	none	287	[PDP:4G3NAa, PDP:4G3NAb]
1tfj_A	none	3	none	204	[PDP:3RZNAa]
3mpp_G	none	3	none	403	[PDP:2VU9Aa, PDP:2VU9Ab]
2pa6_A	none	3	none	427	[d2akza1, d2akza2]
3qbt_A	none	3	none	170	[PDP:2CE2Xa]
3n4e_A	IV.1	3	none	368	[PDP:4DWDAa, PDP:4DWDAb]
3jsj_A	none	3	none	184	[PDP:3JSJAa, PDP:3JSJAb]
2bmj_A	none	3	none	174	[PDP:2IWRAa]
3krg_A	III.1	3	none	399	[PDP:2O04Aa]
4o9x_A	none	4	none	2082	[PDP:4O9XAa, PDP:4O9XAb]
4bxq_A	none	8	none	171	[PDP:4LD1Aa, PDP:4LD1Ab]
3gr1_A	none	3	none	195	[PDP:4G1IAa, PDP:4G1IAb, PDP:4G1IAc]
2afa_A	none	3	none	408	[PDP:2ZBLAa]
3uje_A	none	3	none	433	[d2akza1, d2akza2]
2hv8_A	none	3	none	169	[PDP:2CE2Xa]
2ld6_A	none	3	none	133	[PDP:2LD6Aa]
2fcp_A	IV.2	3	none	705	[PDP:4CU4Aa]
3prn_A	none	4	none	289	[d3prna_]
6prn_A	none	4	none	289	[d3prna_]
1jr1_A	none	3	none	436	[PDP:3ZFHAa]
1hwm_B	none	6	none	264	[PDP:3C9ZAa, PDP:3C9ZAb]
1y8m_A	none	3	none	144	[d1y8ma1]
4efm_A	none	3	none	166	[PDP:2CE2Xa]
2oeb_A	none	3	none	152	[d2oeba1]
2lhi_A	none	3	none	176	[PDP:3WFNBa, PDP:3WFNBb]
2kc3_A	none	3	none	183	[d1nfna_]
3wqn_A	none	3	none	292	[PDP:3WQMAa, PDP:3WQMAb]
2eq5_A	none	3	none	215	[PDP:2EQ5Aa, PDP:2EQ5Ab]
1w3w_A	none	4	none	311	[PDP:2ZHJAa, PDP:2ZHJAb]
1zah_A	none	4	none	363	[d2qapa1]
3et9_F	none	3	none	226	[PDP:4P48Aa, PDP:4P48Ab]
4c1s_A	none	6	none	375	[PDP:4C1SAa]
4lrs_A	IV.1	3	none	337	[PDP:4LRTAa]
4kjz_A	none	3	none	451	[PDP:4KJZAa, PDP:4KJZAb, PDP:4KJZAc, PDP:4KJZAd]
3tkl_A	none	3	none	171	[PDP:2CE2Xa]
4l9o_A	IV.4	5	none	330	[PDP:4L9OAa]
3cy5_A	none	3	none	141	[PDP:2W72Aa]
4h3o_A	none	3	none	105	[PDP:2DPFAa]
1g16_A	none	3	none	159	[PDP:2CE2Xa]
1f5o_A	none	3	none	149	[d1it2a_]
3sy1_A	none	4	none	229	[PDP:3SY1Aa]
3slo_A	none	5	none	306	[PDP:3AEHAa]
4a1h_A	none	3	none	133	[PDP:4BVMAa]
1bh3_A	none	4	none	289	[d3prna_]
3va8_A	IV.1	3	none	427	[PDP:3VC5Aa]
2xm5_A	none	3	none	311	[PDP:2XM5Aa]
2v8q_E	none	3	none	304	[d2v8qe1, d2v8qe2]
2ptw_A	none	3	none	406	[d2akza1, d2akza2]
2jfb_A	none	3	none	153	[PDP:2C92Aa]
3rr1_A	IV.1	3	none	372	[PDP:3RR1Aa, PDP:3RR1Ab]
1a3o_A	none	3	none	141	[PDP:2W72Aa]
1z15_A	none	3	none	344	[PDP:3IPCAa, PDP:3IPCAb]
3i4k_A	IV.1	3	none	370	[PDP:3DGBAa]
2gf9_A	none	3	none	176	[PDP:2CE2Xa]
3m1i_A	none	3	none	200	[PDP:3GJ0Aa]
1f3t_A	none	3	none	378	[d7odca1, d7odca2]
1ald_A	none	3	none	363	[d2qapa1]
3uwt_A	none	3	none	197	[PDP:2QFJAa, PDP:2QFJAb]
2yuh_A	none	4	none	179	[PDP:2YUHAa]
2kmk_A	none	3	none	82	[d1a1ia1, d1a1ia2, d1a1ia3]
4o2w_A	none	7	none	365	[PDP:3KCIAa]
2wmh_A	none	3	none	553	[PDP:2WMFAa]
2wut_A	none	4	none	133	[PDP:4BVMAa]
3qze_A	IV.1	3	none	291	[PDP:3A5FAa]
4c00_A	none	3	C2C;	544	[PDP:4C00Aa, PDP:4C00Ab, PDP:4C00Ac, PDP:4C00Ad]
3daq_A	IV.1	3	none	292	[PDP:3A5FAa]
3g5x_A	none	3	none	214	[PDP:4NZULa, PDP:4NZULb]
2j62_A	none	3	none	585	[PDP:2V5CAa, PDP:2V5CAb, PDP:2V5CAc]
3sfv_A	none	3	none	179	[PDP:2CE2Xa]
3c5q_A	none	3	none	395	[PDP:2YXXAa, PDP:2YXXAb]
4imc_A	IV.1	3	none	292	[d1f74a_]
1r3w_A	none	3	none	356	[d1r3sa_]
3gt5_A	none	4	none	391	[PDP:3GT5Aa]
2qpm_A	none	3	none	496	[PDP:2Q4WAa, PDP:2Q4WAb, PDP:2Q4WAc, PDP:2Q4WAd]
3s1e_A	none	3	none	499	[PDP:2Q4WAa, PDP:2Q4WAb, PDP:2Q4WAc, PDP:2Q4WAd]
4g7f_A	none	3	none	419	[d2akza1, d2akza2]
3p6c_A	none	4	none	139	[PDP:4BVMAa]
1ewd_A	none	4	none	363	[d2qapa1]
3wkf_A	none	6	none	407	[PDP:3WKGAa]
4m1r_A	none	3	none	296	[d7a3ha_]
1aqb_A	none	3	none	175	[d1kt6a_]
3bfk_A	none	3	none	159	[PDP:2CE2Xa]
2f59_A	none	3	none	146	[PDP:2F59Aa]
2yla_A	none	3	none	416	[PDP:4AZ6Aa, PDP:4AZ6Ab]
1gqg_A	none	3	none	333	[d1juha_]
3eyb_A	none	3	none	199	[PDP:3CJWAa]
4lhv_A	none	3	none	165	[PDP:2CE2Xa]
3edc_A	none	3	none	300	[d1jyea_]
2uun_D	none	3	none	172	[d1xg0c_]
3ks5_A	IV.1	3	none	247	[PDP:3KS6Aa, PDP:3KS6Ab]
1ch1_A	none	3	none	154	[PDP:3QM9Aa]
3vi3_H	none	3	none	218	[PDP:4NZULa, PDP:4NZULb]
3mpn_A	none	3	none	506	[d2a65a1]
2q21_A	none	3	none	171	[PDP:2CE2Xa]
1pc2_A	none	3	none	152	[d1pc2a_]
1pm1_X	none	3	none	180	[d1x8qa_]
2uun_B	none	3	none	172	[d1xg0c_]
4ei2_A	none	3	none	223	[PDP:2AEFAa, PDP:2AEFAb]
1o1j_A	none	3	none	283	[d1c7ca1, d1c7ca2]
4nby_A	none	3	none	248	[PDP:2G7CAa, PDP:2G7CAb, PDP:2G7CAc]
1hh8_A	III.3	3	none	192	[d1hh8a_]
3nok_A	none	4	none	234	[PDP:3NOKAa]
4dkx_A	none	3	none	152	[PDP:4DKXAa]
4ap4_B	none	4	none	151	[d1z2ua1]
1e7u_A	III.3	3	none	872	[d1e8ya1, d1e8ya2, d1e8ya3, d1e8ya4]
1vh7_A	IV.1	3	none	250	[PDP:3TDNAa]
1ann_A	none	4	none	315	[PDP:2ZHJAa, PDP:2ZHJAb]
1bjf_A	none	3	none	181	[PDP:4MLWAa]
4af5_A	none	3	none	174	[PDP:4ACIAa, PDP:4ACIAb]
3imq_A	none	3	none	137	[PDP:3D3BAa]
3aqm_A	none	3	none	388	[PDP:3AQLAa, PDP:3AQLAb, PDP:3AQLAc]
4dlf_A	IV.1	3	none	287	[PDP:4DO7Aa]
1pdu_A	none	3	none	230	[PDP:3V3EAa]
1qgo_A	none	3	none	257	[PDP:2XWPAa, PDP:2XWPAb]
1ofj_A	none	3	none	154	[PDP:3QM9Aa]
4ldy_A	none	3	none	319	[PDP:4LDVAa, PDP:4LDVAb, PDP:4LDVAc]
4cbz_A	none	3	none	291	[PDP:4CC0Aa, PDP:4CC0Ab]
3ke8_A	none	3	none	309	[PDP:4H4DAa, PDP:4H4DAb]
3j2x_B	none	4	none	217	[PDP:4NZULa, PDP:4NZULb]
1b4m_A	none	3	none	134	[PDP:4BVMAa]
3puu_A	none	3	none	866	[PDP:3B34Aa]
1wuf_A	IV.1	3	none	371	[d1r0ma1, d1r0ma2]
3t0f_A	none	4	none	314	[PDP:4H4DAa, PDP:4H4DAb]
2dw6_A	IV.1	3	none	388	[PDP:4KEMAa, PDP:4KEMAb, PDP:4KEMAc]
3bzc_A	none	3	CL4;	730	[d3bzka1, d3bzka2, d3bzka3, d3bzka4, d3bzka5]
4mup_A	IV.1	3	none	284	[PDP:4MUPAa]
3vzp_A	none	3	none	245	[d1zk4a1]
3t2y_A	none	3	none	407	[PDP:3SX6Aa]
3lo5_A	none	3	none	144	[PDP:2CE2Xa]
3j04_B	none	3	none	143	[d1exra_]
2j6i_A	none	3	none	353	[PDP:3JTMAa, PDP:3JTMAb]
4hkl_A	none	3	none	189	[PDP:3AKSAa]
3vgd_A	none	3	none	553	[PDP:3VGDAa, PDP:3VGDAb, PDP:3VGDAc, PDP:3VGDAd, PDP:3VGDAe]
2k4t_A	IV.2	7	none	285	[PDP:4C69Xa]
2wql_A	none	3	none	152	[PDP:4A8UAa]
1l6j_A	none	3	none	405	[d1l6ja1, d1l6ja2, d1l6ja3, d1l6ja4, d1l6ja5]
2bat_A	none	3	none	388	[PDP:3B7EAa]
4fbr_A	none	4	none	266	[PDP:4FBRAa, PDP:4FBRAb]
3u14_A	none	3	none	509	[PDP:3KF3Aa, PDP:3KF3Ab]
3ffn_A	none	4	none	728	[d1d0na1, d1d0na2, d1d0na3, d1d0na4, d1d0na5, d1d0na6]
2ge4_A	none	3	none	177	[d1qjpa_]
4g9s_A	none	3	none	187	[PDP:4G9SAa]
4ku4_A	none	3	none	171	[PDP:2CE2Xa]
4gr7_X	none	3	none	173	[d1h4ax1, d1h4ax2]
2hqf_A	none	3	none	1016	[PDP:4DX5Aa, PDP:4DX5Ab, PDP:4DX5Ac, PDP:4DX5Ad, PDP:4DX5Ae, PDP:4DX5Af]
2ovl_A	IV.1	3	none	357	[PDP:2OVLAa, PDP:2OVLAb]
1ou0_A	none	3	none	190	[d1ou0a_]
4fo4_A	none	3	none	348	[PDP:2C6QAa]
1vsw_A	none	3	none	152	[PDP:2C92Aa]
1t9t_A	none	3	none	1014	[PDP:4DX5Aa, PDP:4DX5Ab, PDP:4DX5Ac, PDP:4DX5Ad, PDP:4DX5Ae, PDP:4DX5Af]
1eep_A	none	3	none	314	[PDP:2C6QAa]
1wgc_A	V.2	3	none	170	[PDP:2UVOAa, PDP:2UVOAb, PDP:2UVOAc, PDP:2UVOAd]
4l76_A	none	3	none	227	[PDP:2AEFAa, PDP:2AEFAb]
1ala_A	none	3	none	316	[PDP:2ZHJAa, PDP:2ZHJAb]
2bb5_A	IV.6	4	none	409	[PDP:2BB6Aa, PDP:2BB6Ab]
1pxy_A	none	3	none	465	[d1rt8a_]
1ch7_A	none	3	none	154	[PDP:3QM9Aa]
4gp3_A	none	5	none	480	[PDP:3LLPAa, PDP:3LLPAb, PDP:3LLPAc, PDP:3LLPAd]
3j2i_B	none	5	none	224	[d1g62a_]
2rkw_A	none	3	none	422	[PDP:2C61Aa, PDP:2C61Ab]
2hii_A	none	3	none	249	[PDP:3FDSCa, PDP:3FDSCb]
2xgz_A	none	3	none	437	[d2akza1, d2akza2]
1mdl_A	IV.1	3	none	357	[PDP:4FP1Aa, PDP:4FP1Ab, PDP:4FP1Ac]
3wr1_A	none	3	none	141	[PDP:2W72Aa]
4m6s_A	none	3	none	137	[PDP:4BVMAa]
1pkq_B	none	3	none	221	[PDP:4NZULa, PDP:4NZULb]
1gaf_H	none	3	none	217	[PDP:4NZULa, PDP:4NZULb]
2qtf_A	none	3	none	311	[PDP:2QTFAa, PDP:2QTFAb]
3aqg_A	none	3	none	133	[PDP:3AQGAa]
3wjv_A	none	3	none	176	[PDP:3WJTAa]
4mpz_A	none	3	none	136	[PDP:4LD1Aa, PDP:4LD1Ab]
4c0p_A	none	4	none	889	[PDP:4C0OAa, PDP:4C0OAb, PDP:4C0OAc, PDP:4C0OAd]
3brw_D	none	3	none	167	[PDP:2CE2Xa]
3pnl_B	none	3	none	211	[PDP:3PNLBa]
3euv_B	none	4	none	402	[d2h6fb1]
3ays_A	none	3	none	357	[d1edga_]
4g80_S	none	3	none	128	[PDP:4G80Ia]
2o8p_A	none	3	none	220	[d2o8pa1]
4gov_A	none	3	none	470	[PDP:3LLPAa, PDP:3LLPAb, PDP:3LLPAc, PDP:3LLPAd]
1gve_A	none	3	none	324	[d1gvea_]
1hk2_A	none	3	none	560	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
3c05_B	none	3	none	59	[PDP:3C05Aa]
4m98_A	none	7	none	205	[PDP:4EA9Aa, PDP:4EA9Ab]
3w01_A	none	3	none	230	[PDP:3VZXAa]
2jic_A	none	3	none	189	[PDP:3AKSAa]
1cp0_A	none	3	none	154	[PDP:3QM9Aa]
1nis_A	none	3	none	753	[d8acna1, d8acna2]
1m4w_A	none	3	none	197	[PDP:3AKSAa]
3e3v_A	none	3	none	154	[PDP:3E3VAa, PDP:3E3VAb]
4nyi_R	none	3	none	167	[PDP:2CE2Xa]
3vzr_B	none	3	none	244	[d1zk4a1]
1in8_A	none	3	none	298	[d1in4a1, d1in4a2]
2g6b_A	none	3	none	162	[PDP:2CE2Xa]
1g43_A	none	3	none	160	[PDP:3ZUCAa]
4dgi_H	none	4	none	218	[PDP:4NZULa, PDP:4NZULb]
1abe_A	none	3	none	305	[d8abpa_]
1puu_B	none	3	none	263	[PDP:3C9ZAa, PDP:3C9ZAb]
2exh_A	none	3	none	533	[PDP:3C2UAa, PDP:3C2UAb]
3cr3_A	none	4	none	192	[d3cr3a1]
1twi_A	none	3	none	434	[PDP:2YXXAa, PDP:2YXXAb]
1vgo_A	none	3	none	233	[d1m0ka_]
4hk8_A	none	3	none	189	[PDP:3AKSAa]
1xye_A	none	3	none	141	[PDP:2W72Aa]
2ztc_A	none	3	none	188	[PDP:2ZTDAa, PDP:2ZTDAb, PDP:2ZTDAc]
3oqo_A	none	3	none	333	[PDP:2O20Aa, PDP:2O20Ab]
1a1h_A	none	3	none	85	[d1a1ia1, d1a1ia2, d1a1ia3]
2q03_A	none	4	none	133	[d2q03a1]
2h3h_A	none	3	none	313	[PDP:2H3HAa, PDP:2H3HAb]
2gf5_A	none	3	none	191	[d2gf5a1, d2gf5a2]
3pir_A	none	3	none	168	[PDP:2CE2Xa]
4lsa_A	none	3	none	743	[PDP:3RGZAa, PDP:3RGZAb]
4n5a_A	none	5	none	535	[PDP:4N5AAa, PDP:4N5AAb, PDP:4N5AAc, PDP:4N5AAd]
2lcf_A	none	3	none	166	[PDP:2CE2Xa]
2zuy_A	none	3	none	604	[PDP:2ZUXAa, PDP:2ZUXAb]
1y09_A	none	3	none	141	[PDP:2W72Aa]
1bc0_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
2b8h_A	none	3	none	388	[PDP:3B7EAa]
3v03_A	none	3	none	581	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
3uc1_A	none	5	none	300	[PDP:4G3NAa, PDP:4G3NAb]
3rab_A	none	3	none	169	[PDP:2CE2Xa]
3ekh_A	none	4	none	394	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
2g4k_A	none	3	none	339	[PDP:2FOZAa]
2k0l_A	none	3	none	210	[PDP:2K0LAa]
3s18_A	none	3	none	224	[PDP:3S18Aa]
2ht6_A	none	3	none	166	[PDP:2CE2Xa]
3vkl_A	none	4	none	289	[PDP:4HANAa, PDP:4HANAb]
2nva_A	none	4	none	369	[PDP:2NVAAa, PDP:2NVAAb]
4dad_A	none	3	none	134	[PDP:4DADAa]
2ocb_A	none	3	none	173	[PDP:2CE2Xa]
4iru_B	none	3	none	170	[PDP:2CE2Xa]
2jwy_A	none	3	none	168	[PDP:2JWYAa]
